,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
4505,2020,11,grosjean,grosjean,8,16,9,9,2,60,+39.081,5788722,54,,Finished,1:31.562
4506,2020,11,giovinazzi,giovinazzi,99,14,10,10,1,60,+40.035,5789676,38,,Finished,1:30.909
4507,2020,11,vettel,vettel,5,11,11,11,0,60,+40.810,5790451,43,,Finished,1:30.408
4508,2020,11,raikkonen,raikkonen,7,19,12,12,0,60,+41.476,5791117,54,,Finished,1:30.512
4509,2020,11,kevin_magnussen,kevin_magnussen,20,15,13,13,0,60,+49.585,5799226,37,,Finished,1:30.456
4510,2020,11,latifi,latifi,6,18,14,14,0,60,+54.449,5804090,39,,Finished,1:31.377
4511,2020,11,kvyat,kvyat,26,13,15,15,0,60,+55.588,5805229,41,,Finished,1:32.214
4512,2020,11,norris,norris,4,8,16,R,0,42,,,40,,Power Unit,1:32.328
4513,2020,11,albon,albon,23,5,17,R,0,23,,,9,,Radiator,1:32.330
4514,2020,11,ocon,ocon,31,7,18,R,0,22,,,21,,Gearbox,1:33.189
4515,2020,11,bottas,bottas,77,1,19,R,0,18,,,8,,Power Unit,1:31.884
4516,2020,11,russell,russell,63,17,20,R,0,12,,,6,,Collision,1:34.526
4517,2020,12,hamilton,hamilton,44,1,1,1,26,66,1:29:56.828,5396828,63,,Finished,1:18.750
4518,2020,12,bottas,bottas,77,2,2,2,18,66,+25.592,5422420,66,,Finished,1:19.345
4519,2020,12,max_verstappen,max_verstappen,33,3,3,3,15,66,+34.508,5431336,62,,Finished,1:19.854
4520,2020,12,leclerc,leclerc,16,4,4,4,12,66,+1:05.312,5462140,66,,Finished,1:20.408
4521,2020,12,gasly,gasly,10,9,5,5,10,65,,,65,,+1 Lap,1:20.551
4522,2020,12,sainz,sainz,55,7,6,6,8,65,,,65,,+1 Lap,1:20.268
4523,2020,12,perez,perez,11,5,7,7,6,65,,,49,,+1 Lap,1:20.802
4524,2020,12,ocon,ocon,31,11,8,8,4,65,,,61,,+1 Lap,1:20.859
4525,2020,12,ricciardo,ricciardo,3,10,9,9,2,65,,,61,,+1 Lap,1:20.906
4526,2020,12,vettel,vettel,5,15,10,10,1,65,,,62,,+1 Lap,1:20.731
4527,2020,12,raikkonen,raikkonen,7,16,11,11,0,65,,,60,,+1 Lap,1:21.058
4528,2020,12,albon,albon,23,6,12,12,0,65,,,61,,+1 Lap,1:19.890
4529,2020,12,norris,norris,4,8,13,13,0,65,,,65,,+1 Lap,1:19.360
4530,2020,12,russell,russell,63,14,14,14,0,65,,,62,,+1 Lap,1:20.882
4531,2020,12,giovinazzi,giovinazzi,99,17,15,15,0,65,,,46,,+1 Lap,1:21.893
4532,2020,12,kevin_magnussen,kevin_magnussen,20,19,16,16,0,65,,,63,,+1 Lap,1:21.460
4533,2020,12,grosjean,grosjean,8,18,17,17,0,65,,,59,,+1 Lap,1:21.664
4534,2020,12,latifi,latifi,6,20,18,18,0,64,,,53,,+2 Laps,1:21.859
4535,2020,12,kvyat,kvyat,26,13,19,19,0,64,,,59,,+2 Laps,1:20.449
4536,2020,12,stroll,stroll,18,12,20,R,0,51,,,45,,Collision damage,1:21.694
4537,2020,13,hamilton,hamilton,44,2,1,1,26,63,1:28:32.430,5312430,63,,Finished,1:15.484
4538,2020,13,bottas,bottas,77,1,2,2,18,63,+5.783,5318213,63,,Finished,1:15.902
4539,2020,13,ricciardo,ricciardo,3,5,3,3,15,63,+14.320,5326750,62,,Finished,1:17.552
4540,2020,13,kvyat,kvyat,26,8,4,4,12,63,+15.141,5327571,62,,Finished,1:17.666
4541,2020,13,leclerc,leclerc,16,7,5,5,10,63,+19.111,5331541,62,,Finished,1:18.173
4542,2020,13,perez,perez,11,11,6,6,8,63,+19.652,5332082,49,,Finished,1:18.084
4543,2020,13,sainz,sainz,55,10,7,7,6,63,+20.230,5332660,62,,Finished,1:18.118
4544,2020,13,norris,norris,4,9,8,8,4,63,+21.131,5333561,63,,Finished,1:18.069
4545,2020,13,raikkonen,raikkonen,7,18,9,9,2,63,+22.224,5334654,63,,Finished,1:18.088
4546,2020,13,giovinazzi,giovinazzi,99,20,10,10,1,63,+26.398,5338828,61,,Finished,1:18.794
4547,2020,13,latifi,latifi,6,19,11,11,0,63,+27.135,5339565,37,,Finished,1:18.719
4548,2020,13,vettel,vettel,5,14,12,12,0,63,+28.453,5340883,44,,Finished,1:17.767
4549,2020,13,stroll,stroll,18,15,13,13,0,63,+29.163,5341593,46,,Finished,1:18.360
4550,2020,13,grosjean,grosjean,8,16,14,14,0,63,+32.935,5345365,45,,Finished,1:18.822
4551,2020,13,albon,albon,23,6,15,15,0,63,+57.284,5369714,63,,Finished,1:16.177
4552,2020,13,russell,russell,63,13,16,R,0,51,,,43,,Accident,1:18.811
4553,2020,13,max_verstappen,max_verstappen,33,3,17,R,0,50,,,44,,Puncture,1:17.637
4554,2020,13,kevin_magnussen,kevin_magnussen,20,17,18,R,0,47,,,45,,Illness,1:19.273
4555,2020,13,ocon,ocon,31,12,19,R,0,27,,,22,,Gearbox,1:19.606
4556,2020,13,gasly,gasly,10,4,20,R,0,8,,,5,,Water pressure,1:20.403
4557,2020,14,hamilton,hamilton,44,6,1,1,25,58,1:42:19.313,6139313,56,,Finished,1:39.413
4558,2020,14,perez,perez,11,3,2,2,18,58,+31.633,6170946,50,,Finished,1:40.392
4559,2020,14,vettel,vettel,5,11,3,3,15,58,+31.960,6171273,53,,Finished,1:39.662
4560,2020,14,leclerc,leclerc,16,12,4,4,12,58,+33.858,6173171,47,,Finished,1:39.961
4561,2020,14,sainz,sainz,55,15,5,5,10,58,+34.363,6173676,56,,Finished,1:38.754
4562,2020,14,max_verstappen,max_verstappen,33,2,6,6,8,58,+44.873,6184186,53,,Finished,1:38.431
